reference	1	0	166429248	22	49186	158750234	1	sps5
reference	1	0	20954823	2	20669456	42017621	-1	sps2
reference	1	20954823	22153798	2	66454046	67653021	1	sps2
reference	1	22153798	39258942	2	3223777	20328921	-1	sps2
reference	1	39258942	42482535	2	46	3223639	1	sps2
reference	1	42482535	65601542	2	42117366	66160414	1	sps2
reference	1	65601542	156533731	2	67653135	158585324	1	sps2
reference	1	156533731	163434964	2	160544499	167445732	-1	sps2
reference	1	163434964	164494024	2	167637096	168696156	-1	sps2
reference	1	164494024	166429248	2	158604874	160544390	1	sps2
reference	1	0	5525932	1	3006124	9320431	-1	sps6
reference	1	5525932	20954823	4	3530149	19945625	1	sps6
reference	1	20954823	31482139	3	3356745	15294694	-1	sps6
reference	1	31482139	39258942	1	9522892	17935166	-1	sps6
reference	1	39258942	42482535	3	16175989	19664451	-1	sps6
reference	1	42482535	166429248	4	20119784	156256011	1	sps6
reference	1	0	42482535	2	196	45836815	-1	sps1
reference	1	42482535	62328954	2	45884363	67191151	-1	sps1
reference	1	62328954	81764746	2	68813404	89831015	1	sps1
reference	1	81764746	84469638	2	124429789	127214965	-1	sps1
reference	1	84469638	117630969	2	89839296	124429724	1	sps1
reference	1	117630969	162106442	2	127222057	174605369	1	sps1
reference	1	162106442	165792095	2	175381493	179096280	-1	sps1
reference	1	165792095	166429248	2	174605494	175334198	1	sps1
