1	248956422	sps1
2	242193529	sps1
3	198295559	sps1
4	190214555	sps1
5	181538259	sps1
6	170805979	sps1
7	159345973	sps1
8	145138636	sps1
9	138394717	sps1
10	133797422	sps1
11	135086622	sps1
12	133275309	sps1
13	114364328	sps1
14	107043718	sps1
15	101991189	sps1
16	90338345	sps1
17	83257441	sps1
18	80373285	sps1
19	58617616	sps1
20	64444167	sps1
21	46709983	sps1
22	50818468	sps1
X	156040895	sps1
Y	57227415	sps1
1	220829949	sps2
2	194590626	sps2
3	186593194	sps2
4	174811213	sps2
5	167590190	sps2
6	153411954	sps2
7	141180797	sps2
8	129586403	sps2
9	129149534	sps2
10	128814721	sps2
11	127899456	sps2
12	111075373	sps2
13	107909299	sps2
14	95197326	sps2
15	88282628	sps2
16	78953107	sps2
17	75751991	sps2
18	74906297	sps2
19	74498276	sps2
20	59617313	sps2
21	54046283	sps2
22	33654069	sps2
23	33380987	sps2
X	150179692	sps2
1	327680592	sps3
2	228187830	sps3
3	219433329	sps3
4	174433132	sps3
5	167471642	sps3
6	128923770	sps3
7	127942400	sps3
8	127899356	sps3
9	124774779	sps3
10	123868388	sps3
11	110207010	sps3
12	106169555	sps3
13	95067678	sps3
14	88282628	sps3
15	77520841	sps3
16	75330377	sps3
17	74251337	sps3
18	73748586	sps3
19	59251557	sps3
20	37948648	sps3
21	29478790	sps3
22	23648533	sps3
23	19061985	sps3
X	150029004	sps3
1	327167956	sps4
2	227607576	sps4
3	216112713	sps4
4	177135534	sps4
5	166658623	sps4
6	128047920	sps4
7	127862323	sps4
8	127628143	sps4
9	124323394	sps4
10	123392535	sps4
11	109652843	sps4
12	106038263	sps4
13	94903014	sps4
14	88173700	sps4
15	77182888	sps4
16	74251340	sps4
17	73241096	sps4
18	72285341	sps4
19	59251557	sps4
20	52337002	sps4
21	37882228	sps4
22	18915631	sps4
X	149131321	sps4
