1	 1 	" 5,294,400 "	7	 1 	" 5,294,400 "	+	sps3	sps2
1	" 5,294,400 "	" 5,621,706 "	7	" 5,294,400 "	" 5,621,706 "	-	sps3	sps2
1	" 5,621,706 "	" 6,820,020 "	7	" 5,665,768 "	" 6,864,082 "	+	sps3	sps2
1	" 6,820,020 "	" 17,979,597 "	7	" 16,765,012 "	" 27,924,589 "	+	sps3	sps2
1	" 17,979,597 "	" 20,409,365 "	7	" 8,604,933 "	" 11,034,701 "	+	sps3	sps2
1	" 20,409,365 "	" 133,663,727 "	7	" 27,924,589 "	" 141,180,797 "	-	sps3	sps2
1	" 133,663,727 "	" 135,404,578 "	7	" 6,864,082 "	" 8,604,933 "	-	sps3	sps2
1	" 135,404,578 "	" 141,134,889 "	7	" 11,034,701 "	" 16,765,012 "	+	sps3	sps2
1	" 141,134,889 "	" 318,510,073 "	3	" 9,170,319 "	" 186,593,094 "	-	sps3	sps2
1	" 318,510,073 "	" 323,735,342 "	3	" 3,945,050 "	" 9,170,319 "	+	sps3	sps2
1	" 323,735,342 "	" 327,680,392 "	3	 1 	" 3,945,050 "	-	sps3	sps2
2	 1 	" 2,839,468 "	2	" 122,463,437 "	" 125,302,905 "	+	sps3	sps2
2	" 2,839,468 "	" 3,322,078 "	2	" 125,302,905 "	" 125,785,515 "	-	sps3	sps2
2	" 3,322,078 "	" 4,017,504 "	2	" 125,826,802 "	" 126,522,228 "	-	sps3	sps2
2	" 4,017,504 "	" 19,094,693 "	2	 1 	" 15,077,189 "	-	sps3	sps2
2	" 19,139,003 "	" 79,632,155 "	2	" 15,077,189 "	" 75,570,341 "	-	sps3	sps2
2	" 79,632,155 "	" 145,225,382 "	2	" 126,522,228 "	" 192,115,455 "	+	sps3	sps2
2	" 145,225,382 "	" 147,132,935 "	2	" 192,115,455 "	" 194,023,008 "	-	sps3	sps2
2	" 147,132,935 "	" 147,640,465 "	2	" 194,083,096 "	" 194,590,626 "	+	sps3	sps2
2	" 147,640,465 "	" 194,533,561 "	2	" 75,570,341 "	" 122,463,437 "	-	sps3	sps2
2	" 194,533,561 "	" 228,187,630 "	22	 1 	" 33,654,069 "	+	sps3	sps2
3	 28 	" 118,893,547 "	1	 1 	" 118,738,204 "	+	sps3	sps2
3	" 118,942,228 "	" 120,139,304 "	1	" 119,753,667 "	" 120,950,743 "	+	sps3	sps2
3	" 120,139,304 "	" 120,753,700 "	1	" 119,139,271 "	" 119,753,667 "	+	sps3	sps2
3	" 120,753,700 "	" 198,456,779 "	1	" 121,545,095 "	" 199,491,720 "	+	sps3	sps2
3	" 198,456,779 "	" 217,627,928 "	1	" 199,491,720 "	" 219,024,448 "	-	sps3	sps2
3	" 217,627,928 "	" 219,433,229 "	1	" 219,024,448 "	" 220,829,749 "	+	sps3	sps2
4	 1 	" 169,412,358 "	4	 1 	" 169,794,625 "	+	sps3	sps2
4	" 169,412,358 "	" 169,788,937 "	4	" 171,175,898 "	" 171,552,477 "	-	sps3	sps2
4	" 169,788,937 "	" 171,170,210 "	4	" 169,794,625 "	" 171,175,898 "	+	sps3	sps2
4	" 171,170,210 "	" 174,428,946 "	4	" 171,552,477 "	" 174,811,213 "	+	sps3	sps2
5	 1 	" 167,471,642 "	5	 1 	" 167,590,190 "	+	sps3	sps2
6	 1 	" 29,341,728 "	10	 1 	" 29,341,728 "	+	sps3	sps2
6	" 29,341,728 "	" 30,555,245 "	10	" 29,341,728 "	" 30,555,245 "	-	sps3	sps2
6	" 30,555,245 "	" 42,088,373 "	10	" 30,555,245 "	" 42,088,373 "	+	sps3	sps2
6	" 42,088,373 "	" 44,208,872 "	10	" 43,550,135 "	" 45,670,634 "	-	sps3	sps2
6	" 44,208,872 "	" 45,244,022 "	10	" 42,514,985 "	" 43,550,135 "	+	sps3	sps2
6	" 45,244,022 "	" 45,670,634 "	10	" 42,088,373 "	" 42,514,985 "	+	sps3	sps2
6	" 45,743,321 "	" 82,189,589 "	10	" 46,222,218 "	" 82,668,486 "	-	sps3	sps2
