1	1	220829949	1	905932	248929587	+	sps2	sps1
2	1	194590626	3	56740	198125985	+	sps2	sps1
3	1	186593194	4	19026	190066978	+	sps2	sps1
4	1	93450570	5	19928	99472416	+	sps2	sps1
4	93450570	93760447	5	99737827	100047704	-	sps2	sps1
4	93760447	174811213	5	100055044	181254502	+	sps2	sps1
5	1	167590190	6	177541	170590465	+	sps2	sps1
6	1	5891723	7	105967	5997690	+	sps2	sps1
6	5891723	6599201	7	5997690	6705168	-	sps2	sps1
6	6599301	52993404	7	6734023	53184622	+	sps2	sps1
6	52993404	53666688	7	53188941	53862225	-	sps2	sps1
6	53666688	59617133	7	53869731	65149474	+	sps2	sps1
6	59617233	59989738	7	65216925	65589430	-	sps2	sps1
6	59989838	153411954	7	65644673	159333392	+	sps2	sps1
7	1	141180797	8	210713	145073216	+	sps2	sps1
8	1	129586403	12	11163	133242414	+	sps2	sps1
9	1	129149534	11	126902	135057698	+	sps2	sps1
10	1	128814721	10	24990	133612673	+	sps2	sps1
11	1	16513788	2	113624423	130138211	+	sps2	sps1
11	16513788	17068411	2	130719933	131274556	-	sps2	sps1
11	17068511	127899456	2	131274712	242105657	+	sps2	sps1
12	1	111075373	9	120947	138211542	+	sps2	sps1
13	1	86909030	2	10845	86925251	+	sps2	sps1
13	86909030	88867199	2	87796483	91839817	+	sps2	sps1
13	88867299	89416975	2	87148312	87697988	+	sps2	sps1
13	89417075	107909299	2	94570062	113404812	+	sps2	sps1
14	1	95197326	13	18876293	114334409	+	sps2	sps1
15	1	88282628	14	18597835	106880463	+	sps2	sps1
16	1	393236	15	19854211	20247447	-	sps2	sps1
16	393336	78953107	15	22597904	101870147	+	sps2	sps1
17	1	16144273	17	488990	16682099	+	sps2	sps1
17	16144273	19611670	17	16682099	20491841	-	sps2	sps1
17	19611770	38358674	17	20912792	45482412	+	sps2	sps1
17	38358774	39203261	17	46217039	47061526	-	sps2	sps1
17	39203261	39792501	17	45627799	46217039	+	sps2	sps1
17	39792501	75751991	17	47061526	83191387	+	sps2	sps1
18	1	54998415	16	77044	69950701	+	sps2	sps1
18	54998415	59160063	16	70166593	74328241	-	sps2	sps1
18	59160063	74906297	16	74328241	90074475	+	sps2	sps1
19	1	15241490	18	112546	15354036	-	sps2	sps1
19	15241490	74498276	18	20940378	80260140	+	sps2	sps1
20	1	59617313	20	126026	64292367	+	sps2	sps1
21	1	32235501	19	251693	36331795	+	sps2	sps1
21	32235501	32711535	19	36331795	36807829	-	sps2	sps1
21	32711535	54046283	19	37251831	58586579	+	sps2	sps1
22	1	33654069	21	13020671	46674740	+	sps2	sps1
23	1	33380987	22	16483740	50786485	+	sps2	sps1
X	1	150179692	X	291646	155998286	+	sps2	sps1
